Column1,id,title,context,question,answers,modified_question (GPT 3.5 Turbo),modified_question
10,2.05E+11,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض  بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو.",كم يبلغ قطره؟,"{'text': array(['ربع قطر الأرض،'], dtype=object), 'answer_start': array([206], dtype=int32)}",كم يبلغ قطر القمر؟,كم يبلغ قطر القمر؟
11,2.82E+11,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض  بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو.",م تبلغ كتلته؟,"{'text': array(['1 على 81 من كتلة الأرض،'], dtype=object), 'answer_start': array([242], dtype=int32)}",ما هي كتلته؟,ما هي كتلته؟
12,2.45E+11,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو. هذا ويتسم القمر الأرضي حركته التزامنية مع كوكبه (الأرض)، عارضاً دائماً الوجه نفسه؛ حيث يتميز الجانب القريب بمنطقةٍ بركانيةٍ منخفضةٍ مظلمةٍ، والتي تقع فيما بين مرتفعات القشرة الأرضية القديمة البراقة والفوهات الصدمية الشاهقة. كما يُلاحظ أن القمر الأرضي هو أكثر جسمٍ لامعٍ في السماء ليلاً، وعموماً هو الجسم الأكثر لمعاناً بعد الشمس، وهذا على الرغم من أن سطحه معتم جداً، حيث أن له انعكاساً مماثلاً للفحم. كان بروز القمر في السماء المظلمة ليلاً، ودورته المنتظمة الأطوار (المراحل) قد جعل له على مر العصور القديمة تأثيراً ثقافياً هاماً على كلٍ من اللغة، التقويم القمري، ، والأساطير القديمة، المتمثلة في آلهة القمر والتي منها عبر الحضارات: ""خونسو"" في الديانة المصرية القديمة، ""تشانغ"" في الحضارة الصينية وكذلك ""ماما قيلا"" في حضارة الإنكا. ومن السمات الكامنة للقمر كذلك، تأثير جاذبيته التي تسفر عن وقوع عمليتي مد وجزر المحيطات وإطالة الدقيقة (نتيجة تسارع المد والجزر) لليوم. مع ملاحظة أن المسافة المدارية الحالية للقمر، والتي تُقَدَرُ بثلاثين مرةٍ قدر قطر الكرة الأرضية، تتسبب في أن يبدو القمر أغلب الوقت بنفس حجمه دون تغيير في السماء كما هو الحال مع الشمس، مما يسمح له (القمر) بأن يغطي الشمس بصورةٍ شبه تامةٍ في ظاهرة الكسوف الكلي للشمس.",ما هى سمات القمر؟,"{'text': array(['تأثير جاذبيته التي تسفر عن وقوع عمليتي مد وجزر المحيطات وإطالة الدقيقة (نتيجة تسارع'],
      dtype=object), 'answer_start': array([1099], dtype=int32)}",ما هي سمات القمر؟,ما هي سمات القمر؟
13,8.27E+11,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو. هذا ويتسم القمر الأرضي حركته التزامنية مع كوكبه (الأرض)، عارضاً دائماً الوجه نفسه؛ حيث يتميز الجانب القريب بمنطقةٍ بركانيةٍ منخفضةٍ مظلمةٍ، والتي تقع فيما بين مرتفعات القشرة الأرضية القديمة البراقة والفوهات الصدمية الشاهقة. كما يُلاحظ أن القمر الأرضي هو أكثر جسمٍ لامعٍ في السماء ليلاً، وعموماً هو الجسم الأكثر لمعاناً بعد الشمس، وهذا على الرغم من أن سطحه معتم جداً، حيث أن له انعكاساً مماثلاً للفحم. كان بروز القمر في السماء المظلمة ليلاً، ودورته المنتظمة الأطوار (المراحل) قد جعل له على مر العصور القديمة تأثيراً ثقافياً هاماً على كلٍ من اللغة، التقويم القمري، ، والأساطير القديمة، المتمثلة في آلهة القمر والتي منها عبر الحضارات: ""خونسو"" في الديانة المصرية القديمة، ""تشانغ"" في الحضارة الصينية وكذلك ""ماما قيلا"" في حضارة الإنكا. ومن السمات الكامنة للقمر كذلك، تأثير جاذبيته التي تسفر عن وقوع عمليتي مد وجزر المحيطات وإطالة الدقيقة (نتيجة تسارع المد والجزر) لليوم. مع ملاحظة أن المسافة المدارية الحالية للقمر، والتي تُقَدَرُ بثلاثين مرةٍ قدر قطر الكرة الأرضية، تتسبب في أن يبدو القمر أغلب الوقت بنفس حجمه دون تغيير في السماء كما هو الحال مع الشمس، مما يسمح له (القمر) بأن يغطي الشمس بصورةٍ شبه تامةٍ في ظاهرة الكسوف الكلي للشمس.",كم المسافة المدارية للقمر؟,"{'text': array(['تُقَدَرُ بثلاثين مرةٍ قدر قطر الكرة الأرضية،'], dtype=object), 'answer_start': array([1254], dtype=int32)}",ما هي المسافة المدارية للقمر؟,ما هي المسافة المدارية للقمر؟
14,21450091118,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو. هذا ويتسم القمر الأرضي حركته التزامنية مع كوكبه (الأرض)، عارضاً دائماً الوجه نفسه؛ حيث يتميز الجانب القريب بمنطقةٍ بركانيةٍ منخفضةٍ مظلمةٍ، والتي تقع فيما بين مرتفعات القشرة الأرضية القديمة البراقة والفوهات الصدمية الشاهقة. كما يُلاحظ أن القمر الأرضي هو أكثر جسمٍ لامعٍ في السماء ليلاً، وعموماً هو الجسم الأكثر لمعاناً بعد الشمس، وهذا على الرغم من أن سطحه معتم جداً، حيث أن له انعكاساً مماثلاً للفحم. كان بروز القمر في السماء المظلمة ليلاً، ودورته المنتظمة الأطوار (المراحل) قد جعل له على مر العصور القديمة تأثيراً ثقافياً هاماً على كلٍ من اللغة، التقويم القمري، ، والأساطير القديمة، المتمثلة في آلهة القمر والتي منها عبر الحضارات: ""خونسو"" في الديانة المصرية القديمة، ""تشانغ"" في الحضارة الصينية وكذلك ""ماما قيلا"" في حضارة الإنكا. ومن السمات الكامنة للقمر كذلك، تأثير جاذبيته التي تسفر عن وقوع عمليتي مد وجزر المحيطات وإطالة الدقيقة (نتيجة تسارع المد والجزر) لليوم. مع ملاحظة أن المسافة المدارية الحالية للقمر، والتي تُقَدَرُ بثلاثين مرةٍ قدر قطر الكرة الأرضية، تتسبب في أن يبدو القمر أغلب الوقت بنفس حجمه دون تغيير في السماء كما هو الحال مع الشمس، مما يسمح له (القمر) بأن يغطي الشمس بصورةٍ شبه تامةٍ في ظاهرة الكسوف الكلي للشمس.",ما اللذى يتسبب فى ظهور القمر بنفس حجمه تقريبا؟,"{'text': array(['المسافة المدارية الحالية للقمر،'], dtype=object), 'answer_start': array([1216], dtype=int32)}",ما الذي يتسبب في ظهور القمر بنفس حجمه تقريبا؟,ما الذي يتسبب في ظهور القمر بنفس حجمه تقريبا؟
15,5.69E+11,القمر,"ويُعَدُ القمر الجرم السماوي الوحيد الذي هبط عليه البشر بأقدامهم. حيث أنه على الرغم من أن برنامج لونا التابع للإتحاد السوفيتي كان الأول من نوعه لينجح في الوصول إلى سطح القمر بواسطة مركبةٍ فضائيةٍ غير مأهولة برواد الفضاء في عام 1959، إلا أن برنامج أبولو التابع لوكالة ناسا الأمريكية استطاع تحقيق إنجاز السفر بالبعثات البشرية الوحيدة، والتي بدأت بأول بعثةٍ بشريةٍ مداريةٍ حول القمر هي بعثة أبولو 8 في عام 1968، والتي تبعها ستة رحلاتٍ بشريةٍ إلى القمر فيما بين عاميّ 1969 و1972 – والتي كانت الأولى منها هي رحلة أبولو 11 في عام 1969. هذا وقد جلبت تلك الرحلات في طريق عودتها نحو 380 كيلوغراماً من الصخور القمرية، والتي استُخْدِمَت بعد ذلك في تطوير التفهم الجيولوجي المفصل لأصول نشأة القمر (والذي ساد المعتقد أن أصول نشأته وتكوينه ترجع إلى 4.5 مليارات سنة وذلك في إطار فرضية الاصطدام العملاق والتي شملت في إطارها تكون كوكب الأرض)، وكذلك في فهم تكوين البنية الداخلية للقمر، وكذلك جيولوجيا القمر.",لمن اول سفينة فضائية وصلت للقمر؟,"{'text': array(['للإتحاد السوفيتي'], dtype=object), 'answer_start': array([108], dtype=int32)}",متى وصلت أول سفينة فضائية إلى القمر؟,لمن اول سفينة فضائية وصلت للقمر؟
16,65482786646,القمر,"ويُعَدُ القمر الجرم السماوي الوحيد الذي هبط عليه البشر بأقدامهم. حيث أنه على الرغم من أن برنامج لونا التابع للإتحاد السوفيتي كان الأول من نوعه لينجح في الوصول إلى سطح القمر بواسطة مركبةٍ فضائيةٍ غير مأهولة برواد الفضاء في عام 1959، إلا أن برنامج أبولو التابع لوكالة ناسا الأمريكية استطاع تحقيق إنجاز السفر بالبعثات البشرية الوحيدة، والتي بدأت بأول بعثةٍ بشريةٍ مداريةٍ حول القمر هي بعثة أبولو 8 في عام 1968، والتي تبعها ستة رحلاتٍ بشريةٍ إلى القمر فيما بين عاميّ 1969 و1972 – والتي كانت الأولى منها هي رحلة أبولو 11 في عام 1969. هذا وقد جلبت تلك الرحلات في طريق عودتها نحو 380 كيلوغراماً من الصخور القمرية، والتي استُخْدِمَت بعد ذلك في تطوير التفهم الجيولوجي المفصل لأصول نشأة القمر (والذي ساد المعتقد أن أصول نشأته وتكوينه ترجع إلى 4.5 مليارات سنة وذلك في إطار فرضية الاصطدام العملاق والتي شملت في إطارها تكون كوكب الأرض)، وكذلك في فهم تكوين البنية الداخلية للقمر، وكذلك جيولوجيا القمر.",متى وصلت اول بعثة بشرية للقمر؟,"{'text': array(['في عام 1968،'], dtype=object), 'answer_start': array([395], dtype=int32)}",متى وصلت أول بعثة بشرية للقمر؟,متى وصلت أول بعثة بشرية للقمر؟
17,6.86E+11,القمر,"ويُعَدُ القمر الجرم السماوي الوحيد الذي هبط عليه البشر بأقدامهم. حيث أنه على الرغم من أن برنامج لونا التابع للإتحاد السوفيتي كان الأول من نوعه لينجح في الوصول إلى سطح القمر بواسطة مركبةٍ فضائيةٍ غير مأهولة برواد الفضاء في عام 1959، إلا أن برنامج أبولو التابع لوكالة ناسا الأمريكية استطاع تحقيق إنجاز السفر بالبعثات البشرية الوحيدة، والتي بدأت بأول بعثةٍ بشريةٍ مداريةٍ حول القمر هي بعثة أبولو 8 في عام 1968، والتي تبعها ستة رحلاتٍ بشريةٍ إلى القمر فيما بين عاميّ 1969 و1972 – والتي كانت الأولى منها هي رحلة أبولو 11 في عام 1969. هذا وقد جلبت تلك الرحلات في طريق عودتها نحو 380 كيلوغراماً من الصخور القمرية، والتي استُخْدِمَت بعد ذلك في تطوير التفهم الجيولوجي المفصل لأصول نشأة القمر (والذي ساد المعتقد أن أصول نشأته وتكوينه ترجع إلى 4.5 مليارات سنة وذلك في إطار فرضية الاصطدام العملاق والتي شملت في إطارها تكون كوكب الأرض)، وكذلك في فهم تكوين البنية الداخلية للقمر، وكذلك جيولوجيا القمر.",الى متى يرجع اصل نشأة و تكوين القمر؟,"{'text': array(['4.5 مليارات سنة'], dtype=object), 'answer_start': array([733], dtype=int32)}",ما هو أصل نشأة وتكوين القمر؟,لمن اول سفينة فضائية وصلت للقمر؟
18,1.47E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي.",اين تقع مكة المكرمة؟,"{'text': array(['تقع غرب المملكة العربية السعودية،'], dtype=object), 'answer_start': array([102], dtype=int32)}",أين تقع مكة المكرمة؟,أين تقع مكة المكرمة؟
19,8.49E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي.",كم تبعد مكة المكرمة عن المدينةالمنورة؟,"{'text': array(['حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي،'], dtype=object), 'answer_start': array([160], dtype=int32)}",كم تبعد مكة المكرمة عن المدينة المنورة؟,كم تبعد مكة المكرمة عن المدينة المنورة؟
20,1.14E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي.",كم تبعد مكة المكرمة عن الطائف؟,"{'text': array(['حوالي 120 كيلومترا في الاتجاه الشرقي،'], dtype=object), 'answer_start': array([222], dtype=int32)}",كم تبعد مكة المكرمة عن الطائف؟,كم تبعد مكة المكرمة عن الطائف؟
21,5.36E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي. تقع مكة المكرمة عند تقاطع درجتي العرض 25/21 شمالا، والطول 49/39 شرقا، ويُعتبر هذا الموقع من أصعب التكوينات الجيولوجية، فأغلب صخورها جرانيتية شديدة الصلابة. تبلغ مساحة مدينة مكة المكرمة حوالي 850 كم²، منها 88 كم² مأهولة بالسكان، وتبلغ مساحة المنطقة المركزية المحيطة بالمسجد الحرام حوالي 6 كم²، ويبلغ ارتفاع مكة عن مستوى سطح البحر حوالي 277 مترًا.",م تبعد مكة المكرمة عن جدة؟,"{'text': array(['وعلى بعد 72 كيلومترا'], dtype=object), 'answer_start': array([260], dtype=int32)}",كم تبعد مكة المكرمة عن جدة؟,كم تبعد مكة المكرمة عن جدة؟
22,5.31E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي. تقع مكة المكرمة عند تقاطع درجتي العرض 25/21 شمالا، والطول 49/39 شرقا، ويُعتبر هذا الموقع من أصعب التكوينات الجيولوجية، فأغلب صخورها جرانيتية شديدة الصلابة. تبلغ مساحة مدينة مكة المكرمة حوالي 850 كم²، منها 88 كم² مأهولة بالسكان، وتبلغ مساحة المنطقة المركزية المحيطة بالمسجد الحرام حوالي 6 كم²، ويبلغ ارتفاع مكة عن مستوى سطح البحر حوالي 277 مترًا.",كم يبلغ ارتفاع مكة عن سطح البحر؟,"{'text': array(['حوالي 277 مترًا.'], dtype=object), 'answer_start': array([744], dtype=int32)}",كم يبلغ ارتفاع مكة عن مستوى سطح البحر؟,كم يبلغ ارتفاع مكة عن مستوى سطح البحر؟
23,7.96E+11,مكة,"مكة المكرمة هي مدينة مقدسة لدى المسلمين، بها المسجد الحرام، والكعبة التي تعد قبلة المسلمين في صلاتهم. تقع غرب المملكة العربية السعودية، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر، وأقرب الموانئ لها هو ميناء جدة الإسلامي، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي. تقع مكة المكرمة عند تقاطع درجتي العرض 25/21 شمالا، والطول 49/39 شرقا، ويُعتبر هذا الموقع من أصعب التكوينات الجيولوجية، فأغلب صخورها جرانيتية شديدة الصلابة. تبلغ مساحة مدينة مكة المكرمة حوالي 850 كم²، منها 88 كم² مأهولة بالسكان، وتبلغ مساحة المنطقة المركزية المحيطة بالمسجد الحرام حوالي 6 كم²، ويبلغ ارتفاع مكة عن مستوى سطح البحر حوالي 277 مترًا.",اين تقع مكة؟,"{'text': array(['عند تقاطع درجتي العرض 25/21 شمالا، والطول 49/39 شرقا،'],
      dtype=object), 'answer_start': array([431], dtype=int32)}",اين تقع مكة؟,اين تقع مكة؟
